1|103|R|1|
2|106|R|1|
3|109|R|1|
4|113|R|1|
5|110|R|1|
6|116|R|1|
7|115|R|1|
8|114|R|1|
9|118|R|1|
10|119|R|1|
11|144|R|1|
12|122|R|1|
13|142|R|1|
14|121|R|1|
15|125|R|1|
16|127|R|1|
17|131|R|1|
18|124|R|1|
19|129|R|1|
20|133|R|1|
21|137|R|1|
22|130|R|1|
23|132|R|1|
24|134|R|1|
25|136|R|1|
26|143|R|1|
27|140|R|1|
28|141|R|1|
29|139|R|1|
30|145|R|1|
31|233|R|1|
32|32|E|1|
33|33|S|1|
34|34|S|1|
35|H106|H|1|
36|H109|H|1|
37|H113|H|1|
38|H115|H|1|
39|H114|H|1|
40|H119|H|1|
41|H121|H|1|
42|42|S|1|
43|43|E|1|
44|H144|H|1|
45|H122|H|1|
46|H142|H|1|
47|H124H131|H|1|
48|H133|H|1|
49|49|S|1|
50|50|S|1|
51|51|E|1|
52|H130|H|1|
53|H137|H|1|
54|E139|E|1|
55|H132|H|1|
