1| 3| 16|
2| 35| 20|
3| 36| 12|
5| 2| 25|
4| 37| 17|
8| 39| 13|
7| 38| 10|
6| 8| 13|
9| 8| 16|
10| 40| 14|
14| 41| 19|
12| 45| 5|
18| 47| 16|
15| 17| 19|
16| 17| 12|
19| 17| 16|
22| 52| 18|
17| 47| 10|
23| 55| 16|
20| 48| 15|
24| 56| 7|
25| 56| 18|
21| 53| 14|
29| 54| 3|
27| 25| 15|
28| 29| 5|
13| 46| 11|
26| 56| 13|
11| 44| 11|
30| 31| 3|
31| 57| 20|
41| 42| 5|
40| 42| 10|
35| 34| 10|
34| 33| 40|
33| 32| 11|
42| 43| 27|
48| 49| 9|
49| 50| 40|
50| 51| 15|
29| 54| 5|
55| 54| 24|
53| 54| 26|
52| 53| 8|
52| 48| 5|
56| 55| 11|
53| 52| 8|
48| 47| 16|
48| 52| 5|
47| 48| 16|
47| 46| 25|
46| 45| 9|
45| 44| 5|
41| 44| 7|
40| 41| 6|
39| 40| 12|
38| 37| 35|
38| 39| 8|
37| 36| 6|
36| 35| 17|
53| 55| 12|
84| 83| 20|
84| 82| 26|
82| 99| 11|
31| 100| 25|
100| 99| 6|
99| 98| 3|
81| 98| 10|
81| 51| 12|
50| 51| 24|
98| 97| 40|
79| 97| 7|
80| 97| 30|
77| 80| 35|
97| 96| 16|
76| 96| 5|
78| 74| 26|
74| 96| 22|
96| 95| 8|
75| 95| 8|
95| 94| 5|
73| 94| 4|
94| 93| 3|
72| 93| 6|
93| 92| 5|
71| 74| 28|
70| 71| 7|
69| 92| 9|
92| 91| 19|
68| 91| 9|
91| 90| 9|
67| 90| 7|
66| 89| 22|
90| 89| 11|
65| 89| 8|
89| 88| 5|
88| 87| 4|
64| 88| 16|
61| 87| 17|
62| 87| 7|
87| 86| 9|
60| 86| 7|
86| 85| 12|
59| 85| 13|
58| 85| 6|
85| 102| 7|
102| 33| 8|
33| 103| 23|
50| 101| 15|
104| 102| 26|
106| 104| 7|
120| 106| 6|
106| 107| 8|
121| 107| 7|
122| 107| 18|
123| 108| 11|
107| 108| 16|
124| 108| 10|
108| 109| 14|
125| 122| 18|
125| 109| 16|
126| 109| 11|
109| 110| 25|
127| 110| 9|
110| 111| 18|
128| 111| 10|
130| 111| 9|
129| 131| 15|
111| 112| 3|
132| 112| 7|
112| 113| 2|
135| 113| 4|
113| 114| 7|
134| 114| 8|
131| 114| 17|
114| 115| 6|
133| 115| 7|
136| 115| 23|
115| 116| 11|
137| 116| 8|
116| 117| 16|
136| 117| 22|
117| 105| 3|
105| 101| 16|
117| 118| 16|
139| 141| 2|
140| 141| 3|
138| 141| 5|
144| 141| 24|
141| 118| 7|
144| 119| 27|
118| 119| 4|
145| 119| 18|
143| 119| 9|
142| 143| 4|
146| 144| 14|
146| 145| 12|
